"last_name, first_name",player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,xobp,xiso,exit_velocity_avg,launch_angle_avg,salary
"Abrams, CJ",682928,2023,22,563,138,86,28,6,18,118,32,0.245,0.412,0.3,0.712,0.247,0.399,0.301,0.152,87.4,13.5,724200
"Abreu, José",547989,2023,36,540,128,86,23,1,18,130,42,0.237,0.383,0.296,0.679,0.248,0.409,0.311,0.161,89,10.8,19500000
"Abreu, José",547989,2022,35,601,183,128,40,0,15,110,62,0.304,0.446,0.378,0.824,0.296,0.486,0.372,0.19,92.2,8,19666668
"Acuña Jr., Ronald",660670,2023,25,643,217,137,35,4,41,84,80,0.337,0.596,0.416,1.012,0.357,0.66,0.435,0.303,94.7,7.4,17000000
"Acuña Jr., Ronald",660670,2022,24,467,124,85,24,0,15,126,53,0.266,0.413,0.351,0.764,0.272,0.484,0.358,0.212,91.2,10.8,15000000
"Adames, Willy",642715,2023,27,553,120,65,29,2,24,165,71,0.217,0.407,0.31,0.717,0.24,0.436,0.332,0.196,87.4,18.2,8700000
"Adames, Willy",642715,2022,26,563,134,72,31,0,31,166,49,0.238,0.458,0.298,0.756,0.238,0.451,0.299,0.213,88.9,18.9,4600000
"Aguilar, Jesús",542583,2022,32,464,109,74,19,0,16,119,28,0.235,0.379,0.281,0.66,0.24,0.393,0.288,0.153,87.7,19.1,700000
"Albies, Ozzie",645277,2023,26,596,167,99,30,5,33,107,46,0.28,0.513,0.336,0.849,0.266,0.467,0.325,0.201,88.7,16.6,7000000
"Alonso, Pete",624413,2023,28,568,123,54,21,2,46,151,65,0.217,0.504,0.318,0.822,0.246,0.527,0.343,0.281,89.5,18.2,14500000
"Alonso, Pete",624413,2022,27,597,162,95,27,0,40,128,67,0.271,0.518,0.352,0.87,0.262,0.486,0.345,0.225,89.8,18.2,7400000
"Altuve, Jose",514888,2022,32,527,158,91,39,0,28,87,66,0.3,0.533,0.387,0.92,0.269,0.44,0.362,0.171,85.9,16.1,29000000
"Alvarez, Yordan",670541,2022,25,470,144,76,29,2,37,106,78,0.306,0.613,0.406,1.019,0.329,0.672,0.43,0.343,95.2,12.3,764600
"Anderson, Tim",641313,2023,30,493,121,100,18,2,1,122,26,0.245,0.296,0.286,0.582,0.258,0.341,0.3,0.083,87.8,2,12500000
"Andrus, Elvis",462101,2022,33,535,133,84,32,0,17,92,39,0.249,0.404,0.303,0.707,0.245,0.36,0.3,0.114,87.9,11.9,700000
"Arcia, Orlando",606115,2023,28,488,129,87,25,0,17,102,39,0.264,0.42,0.321,0.741,0.247,0.398,0.306,0.152,88.2,5.4,2300000
"Arenado, Nolan",571448,2023,32,560,149,95,26,2,26,101,41,0.266,0.459,0.315,0.774,0.266,0.435,0.316,0.17,88.8,16.9,35025000
"Arenado, Nolan",571448,2022,31,557,163,90,42,1,30,72,52,0.293,0.533,0.358,0.891,0.266,0.445,0.335,0.18,88.8,21.7,35075000
"Arozarena, Randy",668227,2023,28,551,140,95,19,3,23,156,80,0.254,0.425,0.364,0.789,0.243,0.435,0.359,0.192,91.7,11.3,4150000
"Arozarena, Randy",668227,2022,27,586,154,90,41,3,20,156,46,0.263,0.445,0.327,0.772,0.234,0.382,0.301,0.148,89.9,8.8,716600
"Arraez, Luis",650333,2023,26,574,203,160,30,3,10,34,35,0.354,0.469,0.393,0.862,0.329,0.458,0.371,0.129,88.3,11.5,6100000
"Arraez, Luis",650333,2022,25,547,173,133,31,1,8,43,50,0.316,0.42,0.375,0.795,0.288,0.408,0.35,0.121,88.9,12.9,2125000
"Báez, Javier",595879,2023,30,510,113,82,18,4,9,125,24,0.222,0.325,0.267,0.592,0.234,0.355,0.28,0.121,88,9.4,22000000
"Báez, Javier",595879,2022,29,555,132,84,27,4,17,147,26,0.238,0.393,0.278,0.671,0.226,0.374,0.268,0.148,87.9,9.6,20000000
"Bell, Josh",605137,2023,30,547,135,85,28,0,22,134,63,0.247,0.419,0.325,0.744,0.263,0.457,0.341,0.194,90.1,9.3,16500000
"Bell, Josh",605137,2022,29,552,147,98,29,3,17,102,81,0.266,0.422,0.362,0.784,0.273,0.424,0.369,0.151,88.9,8.4,10000000
"Bellinger, Cody",641355,2023,27,499,153,97,29,1,26,87,40,0.307,0.525,0.356,0.881,0.268,0.434,0.326,0.165,87.9,17.2,12000000
"Bellinger, Cody",641355,2022,26,504,106,57,27,3,19,150,38,0.21,0.389,0.265,0.654,0.213,0.354,0.271,0.141,89.4,20.3,17000000
"Benintendi, Andrew",643217,2023,28,562,147,106,34,2,5,89,52,0.262,0.356,0.326,0.682,0.27,0.375,0.334,0.105,86.6,14.5,8600000
"Benintendi, Andrew",643217,2022,27,461,140,109,23,3,5,77,52,0.304,0.399,0.373,0.772,0.273,0.407,0.347,0.134,89.2,12.6,8500000
"Betts, Mookie",605141,2023,30,584,179,99,40,1,39,107,96,0.307,0.579,0.408,0.987,0.294,0.563,0.399,0.268,92.4,20.6,25000000
"Betts, Mookie",605141,2022,29,572,154,76,40,3,35,104,55,0.269,0.533,0.34,0.873,0.254,0.465,0.327,0.211,90.5,18.6,22500000
"Bichette, Bo",666182,2023,25,571,175,122,30,3,20,115,27,0.306,0.475,0.339,0.814,0.312,0.502,0.345,0.19,90.2,6.2,3933333
"Bichette, Bo",666182,2022,24,652,189,121,43,1,24,155,41,0.29,0.469,0.333,0.802,0.278,0.444,0.322,0.166,91.9,8.5,825000
"Blackmon, Charlie",453568,2022,35,530,140,96,22,6,16,109,32,0.264,0.419,0.314,0.733,0.256,0.376,0.308,0.12,86.2,12.4,21333333
"Bogaerts, Xander",593428,2023,30,596,170,118,31,2,19,110,56,0.285,0.44,0.35,0.79,0.255,0.401,0.325,0.146,87.6,7.9,25454545
"Bogaerts, Xander",593428,2022,29,557,171,118,38,0,15,118,57,0.307,0.456,0.377,0.833,0.259,0.383,0.338,0.124,88.1,10.2,20000000
"Bohm, Alec",664761,2023,26,558,153,102,31,0,20,94,42,0.274,0.437,0.327,0.764,0.29,0.453,0.342,0.163,89.4,11.1,748000
"Bohm, Alec",664761,2022,25,586,164,124,24,3,13,110,31,0.28,0.398,0.315,0.713,0.29,0.436,0.327,0.146,90.2,10.4,715000
"Bregman, Alex",608324,2023,29,622,163,106,28,4,25,87,92,0.262,0.441,0.363,0.804,0.266,0.43,0.368,0.163,88.6,17.6,30500000
"Bregman, Alex",608324,2022,28,548,142,81,38,0,23,77,87,0.259,0.454,0.366,0.82,0.257,0.416,0.369,0.159,88.9,19.5,13000000
"Brown, Seth",664913,2022,29,500,115,61,26,3,25,146,51,0.23,0.444,0.305,0.749,0.251,0.454,0.324,0.203,89.2,15.8,705000
"Burger, Jake",669394,2023,27,492,123,60,28,1,34,149,32,0.25,0.518,0.309,0.827,0.27,0.512,0.329,0.242,91.9,12.3,720000
"Candelario, Jeimer",600869,2023,29,505,127,63,39,3,22,127,53,0.251,0.471,0.336,0.807,0.236,0.407,0.323,0.171,88.3,14.1,5800000
"Canha, Mark",592192,2023,34,435,114,77,25,1,11,79,49,0.262,0.4,0.355,0.755,0.248,0.381,0.345,0.133,87.9,13.1,10500000
"Canha, Mark",592192,2022,33,462,123,86,24,0,13,97,48,0.266,0.403,0.367,0.77,0.245,0.362,0.351,0.117,87.7,10.9,12666666
"Carroll, Corbin",682998,2023,22,565,161,96,30,10,25,125,57,0.285,0.506,0.362,0.868,0.268,0.441,0.348,0.173,90,11,1625000
"Castellanos, Nick",592206,2023,31,626,170,102,37,2,29,185,36,0.272,0.476,0.311,0.787,0.258,0.443,0.301,0.185,88.9,14.4,20000000
"Castellanos, Nick",592206,2022,30,524,138,98,27,0,13,130,29,0.263,0.389,0.305,0.694,0.25,0.395,0.293,0.145,87.5,14.6,20000000
"Chapman, Matt",656305,2023,30,509,122,64,39,2,17,165,62,0.24,0.424,0.33,0.754,0.23,0.457,0.323,0.228,93.4,18.5,12500000
"Chapman, Matt",656305,2022,29,538,123,68,27,1,27,170,68,0.229,0.433,0.324,0.757,0.234,0.44,0.331,0.206,92.2,19,12500000
"Contreras, William",661388,2023,25,540,156,100,38,1,17,126,63,0.289,0.457,0.367,0.824,0.255,0.433,0.338,0.179,91.3,4.7,739000
"Correa, Carlos",621043,2023,28,514,118,69,29,2,18,131,59,0.23,0.399,0.312,0.711,0.253,0.421,0.335,0.168,90.4,10.6,33333333
"Correa, Carlos",621043,2022,27,522,152,105,24,1,22,121,61,0.291,0.467,0.366,0.833,0.276,0.484,0.353,0.208,89.9,11.6,35100000
"Crawford, J.P.",641487,2023,28,534,142,88,35,0,19,125,94,0.266,0.438,0.38,0.818,0.26,0.384,0.375,0.124,88.3,15.1,11000000
"Crawford, J.P.",641487,2022,27,518,126,93,24,3,6,80,68,0.243,0.336,0.339,0.675,0.255,0.337,0.353,0.081,85.1,8.9,6000000
"Cron, C.J.",543068,2022,32,575,148,88,28,3,29,164,43,0.257,0.468,0.315,0.783,0.243,0.435,0.305,0.192,88.7,14.2,7250000
"Cronenworth, Jake",630105,2023,29,458,105,64,24,7,10,97,46,0.229,0.378,0.312,0.69,0.238,0.37,0.321,0.131,87.4,15.2,4225000
"Cronenworth, Jake",630105,2022,28,587,140,89,30,4,17,131,70,0.239,0.39,0.332,0.722,0.221,0.356,0.319,0.135,87.6,18.2,757200
"Cruz Jr., Nelson",443558,2022,41,448,105,79,16,0,10,119,49,0.234,0.337,0.313,0.65,0.241,0.399,0.323,0.157,90.9,7.2,12000000
"Davis, J.D.",605204,2023,30,480,119,77,23,1,18,152,52,0.248,0.412,0.325,0.737,0.248,0.415,0.328,0.168,91.1,7.8,4210000
"De La Cruz, Bryan",650559,2023,26,579,149,98,32,0,19,142,40,0.257,0.411,0.304,0.715,0.273,0.445,0.321,0.172,89.9,11.8,736000
"Devers, Rafael",646240,2023,26,580,157,90,34,0,33,126,62,0.271,0.5,0.351,0.851,0.282,0.539,0.363,0.257,93.1,12.4,19318182
"Devers, Rafael",646240,2022,25,555,164,94,42,1,27,114,50,0.295,0.521,0.358,0.879,0.282,0.497,0.348,0.215,93.1,11.3,11200000
"Díaz, Elias",553869,2023,32,486,130,90,25,1,14,118,34,0.267,0.409,0.316,0.725,0.245,0.376,0.297,0.131,88.1,12.7,5500000
"Díaz, Yandy",650490,2023,31,525,173,116,35,0,22,94,65,0.33,0.522,0.41,0.932,0.305,0.487,0.391,0.182,93.4,5.7,6000000
"Díaz, Yandy",650490,2022,30,473,140,98,33,0,9,60,78,0.296,0.423,0.401,0.824,0.288,0.424,0.395,0.137,92.2,7.7,2800000
"Donaldson, Josh",518626,2022,36,478,106,63,28,0,15,148,54,0.222,0.374,0.308,0.682,0.215,0.37,0.303,0.154,90.7,12,23000000
"Drury, Brandon",592273,2023,30,485,127,68,30,3,26,136,25,0.262,0.497,0.306,0.803,0.252,0.44,0.299,0.188,89.9,11.8,8500000
"Drury, Brandon",592273,2022,29,518,136,75,31,2,28,126,38,0.263,0.492,0.32,0.812,0.242,0.42,0.303,0.179,89.1,13.8,900000
"Edman, Tommy",669242,2023,28,479,119,77,25,4,13,84,35,0.248,0.399,0.307,0.706,0.262,0.39,0.321,0.128,89.1,7.5,4200000
"Edman, Tommy",669242,2022,27,577,153,105,31,4,13,111,46,0.265,0.4,0.324,0.724,0.258,0.38,0.318,0.122,88.6,8.7,722900
"Escobar, Eduardo",500871,2022,33,495,119,69,26,4,20,129,40,0.24,0.43,0.295,0.725,0.243,0.427,0.3,0.183,88.3,20.6,10000000
"Estrada, Thairo",642731,2023,27,495,134,92,26,2,14,120,22,0.271,0.416,0.315,0.731,0.248,0.371,0.296,0.123,85.9,10.8,2250000
"Estrada, Thairo",642731,2022,26,488,127,89,22,2,14,89,33,0.26,0.4,0.322,0.722,0.246,0.352,0.312,0.107,86.2,8.1,715000
"Farmer, Kyle",571657,2022,31,526,134,94,25,1,14,99,33,0.255,0.386,0.315,0.701,0.258,0.38,0.32,0.122,85.5,12.7,3155000
"Flores, Wilmer",527038,2022,30,525,120,72,28,1,19,103,59,0.229,0.394,0.316,0.71,0.233,0.37,0.322,0.137,87.8,20.7,3500000
"France, Ty",664034,2023,28,587,147,103,32,0,12,117,43,0.25,0.366,0.337,0.703,0.27,0.42,0.354,0.151,87.5,13.7,4100000
"France, Ty",664034,2022,27,551,151,103,27,1,20,94,35,0.274,0.436,0.338,0.774,0.262,0.397,0.33,0.135,87.6,10,734500
"Frazier, Adam",624428,2022,30,541,129,100,22,4,3,73,46,0.238,0.311,0.301,0.612,0.262,0.339,0.324,0.077,85.1,13.6,8000000
"Freeman, Freddie",518692,2023,33,637,211,121,59,2,29,121,72,0.331,0.567,0.41,0.977,0.323,0.565,0.403,0.243,90,15.2,27000000
"Freeman, Freddie",518692,2022,32,612,199,129,47,2,21,102,84,0.325,0.511,0.407,0.918,0.313,0.538,0.4,0.225,91.3,13.6,27000000
"Friedl Jr., TJ",670770,2023,27,488,136,88,22,8,18,90,47,0.279,0.467,0.352,0.819,0.24,0.321,0.318,0.082,86.7,16.1,722500
