"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,ab,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,salary
"Alcantara, Sandy",645261,2022,26,32,228.2,886,820,174,120,32,6,16,207,50,23.4,5.6,0.212,0.324,0.263,0.587,0.215,0.331,0.26,0.266,0.267,0.116,87.8,5.5,28.4,5.3,3800000
"Alcantara, Sandy",645261,2023,27,28,184.2,762,700,176,123,30,1,22,151,48,19.8,6.3,0.251,0.391,0.302,0.693,0.265,0.417,0.301,0.32,0.317,0.153,88.8,7,31.4,7,6300000
"Allen, Logan",671106,2023,24,24,125.1,537,483,127,83,28,0,16,119,48,22.2,8.9,0.263,0.42,0.33,0.75,0.257,0.413,0.326,0.323,0.325,0.156,88.9,12.6,34.2,7.6,720000
"Anderson, Tyler",542881,2022,32,30,178.2,707,657,145,94,31,6,14,138,34,19.5,4.8,0.221,0.35,0.267,0.617,0.225,0.349,0.271,0.275,0.272,0.124,85,16.9,34.2,4.9,8500000
"Anderson, Tyler",542881,2023,33,27,141,629,549,146,84,40,2,20,119,64,18.9,10.2,0.266,0.455,0.346,0.801,0.259,0.434,0.345,0.34,0.343,0.175,87,19.1,37.6,8.2,13000000
"Ashcraft, Graham",668933,2023,25,26,145.2,624,558,148,98,23,4,23,111,52,17.8,8.3,0.265,0.444,0.338,0.782,0.272,0.429,0.339,0.34,0.345,0.157,88.4,8.1,34,6.9,722500
"Bassitt, Chris",605135,2022,33,30,181.2,745,680,159,113,26,1,19,167,49,22.4,6.6,0.234,0.359,0.297,0.656,0.227,0.359,0.291,0.29,0.291,0.132,85.7,10.8,31.1,6.6,8650000
"Bassitt, Chris",605135,2023,34,33,200,826,749,176,108,38,2,28,186,59,22.5,7.1,0.235,0.403,0.299,0.702,0.241,0.405,0.304,0.31,0.306,0.164,87.5,13.2,36,8.3,19000000
"Bello, Brayan",678394,2023,24,28,157,668,611,165,103,36,2,24,132,45,19.8,6.7,0.27,0.453,0.324,0.777,0.253,0.411,0.334,0.315,0.31,0.158,89.5,4.9,28,7,729500
"Berríos, José",621244,2022,28,32,172,753,692,199,135,34,1,29,149,45,19.8,6,0.288,0.465,0.34,0.805,0.275,0.466,0.35,0.346,0.329,0.191,90,13.9,36.3,9.5,10714285
"Berríos, José",621244,2023,29,32,189.2,782,717,173,113,33,2,25,184,52,23.5,6.6,0.241,0.397,0.3,0.697,0.261,0.437,0.302,0.326,0.318,0.176,88.2,11.8,39.1,8.6,15714285
"Bibee, Tanner",676440,2023,24,25,142,585,530,122,83,26,0,13,141,45,24.1,7.7,0.23,0.353,0.295,0.648,0.235,0.376,0.285,0.297,0.3,0.14,88.9,16.6,37.8,6.1,720000
"Bieber, Shane",669456,2022,27,31,200,791,747,172,123,29,2,18,198,36,25,4.6,0.23,0.347,0.266,0.613,0.245,0.386,0.269,0.292,0.281,0.141,89.9,10,32.4,7.2,6000000
"Bieber, Shane",669456,2023,28,21,128,533,490,124,79,29,2,14,107,34,20.1,6.4,0.253,0.406,0.303,0.709,0.284,0.446,0.307,0.336,0.332,0.163,91.6,9.5,34.4,7.8,10010000
"Bradish, Kyle",680694,2022,25,23,117.2,509,449,119,84,18,0,17,111,46,21.8,9,0.265,0.419,0.34,0.759,0.253,0.404,0.334,0.327,0.331,0.15,89.9,8.7,31.4,7.8,7000000
"Bradish, Kyle",680694,2023,26,30,168.2,671,615,132,90,27,1,14,168,44,25,6.6,0.215,0.33,0.275,0.605,0.239,0.388,0.268,0.3,0.298,0.15,90,6.6,33.3,6.9,728100
"Brown, Hunter",686613,2023,24,31,155.2,665,599,157,95,34,2,26,178,55,26.8,8.3,0.262,0.456,0.332,0.788,0.24,0.414,0.34,0.318,0.314,0.174,90.8,6.9,30,10.9,725000
"Brubaker, JT",664141,2022,28,28,144,646,580,157,99,39,2,17,147,54,22.8,8.4,0.271,0.433,0.341,0.774,0.257,0.413,0.339,0.329,0.33,0.157,89.6,10.8,36.2,7.6,725000
"Bubic, Kris",663460,2022,24,28,129,587,510,156,107,30,1,18,110,63,18.7,10.7,0.306,0.475,0.381,0.856,0.286,0.455,0.371,0.362,0.367,0.169,90,10.7,41,7.8,713750
"Bumgarner, Madison",518516,2022,32,30,158.2,698,637,179,101,50,3,25,112,49,16,7,0.281,0.487,0.34,0.827,0.276,0.488,0.357,0.358,0.337,0.211,90.3,16.8,37.7,9.8,23000000
"Bundy, Dylan",605164,2022,29,29,140,595,558,151,96,29,2,24,94,28,15.8,4.7,0.271,0.459,0.306,0.765,0.263,0.44,0.329,0.321,0.3,0.177,88.9,18.6,35.3,8.9,4000000
